name,institution,course_url,course_id,image_url,Lecturer,Level,Study time,Description
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9c/90ae67ecdb4185a4ae79ec9a5ae0b6/Course-Logo--1.png?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,"['Aarti Bagul', 'Andrew Ng', 'Geoff Ladwig']",Beginner level,Approx. 33 hours,"What you'll learn
Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn
Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression"
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,indigenous-canada,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/35/01fcc0dd0011e6bfe6e9e792d574eb/Logo.png?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,['Dr. Paul L. Gareau'],Intermediate level,21 hours to complete,"Skills you'll gain
Art
History
Indigenous Studies
Human Rights and Allyship
Politics"
The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,the-science-of-well-being,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7e/aff5b0f54c11e7b5ae579a0e963c38/Logo_TheScienceofWell-Being.png?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,['Laurie Santos'],Intermediate level,19 hours to complete,"Skills you'll gain
Gratitude
Happiness
Meditation
Savoring"
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c8/e497f0f1ad11e7acdcffe7a1a68190/Course-Logo-1.jpg?auto=format%2Ccompress&dpr=1&w=320&h=180&fit=crop&q=25&crop=faces,['Google Career Certificates'],Beginner level,Approx. 26 hours,"Skills you'll gain
Binary Code
Customer Support
Linux
Troubleshooting"
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6f/e2514b11a94e01868350b10d65c8a4/Logo_Financial-Markets.png?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,['Robert Shiller'],Beginner level,33 hours to complete,"Skills you'll gain
Behavioral Finance
Financial Markets
Finance
Behavioral Economics"
Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/df/cedffaa34d498e965e50e883c5c37d/IMG_0049.jpeg?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,['Paul Bloom'],Beginner level,Approx. 14 hours,"Skills you'll gain
Critical Thinking
Problem Solving
analytical thinking
abstract thinking
reasoning"
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/08/33f720502a11e59e72391aa537f5c9/pythonlearn_thumbnail_1x1.png?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,['Charles Russell Severance'],Beginner level,Approx. 18 hours,"What you'll learn
Install Python and write your first program
Describe the basics of the Python programming language
Use variables to store, retrieve and calculate information
Utilize core programming tools such as functions and loops"
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a4/8734d0f1ad11e7ae1dfb59d4b2b62a/Course-Logo-2.jpg?auto=format%2Ccompress&dpr=1&w=320&h=180&fit=crop&q=25&crop=faces,['Google Career Certificates'],Beginner level,25 hours (approximately),"Skills you'll gain
Domain Name System (DNS)
Ipv4
Network Model
Troubleshooting"
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/41/763803169e4d31a5e7611bc928124b/Course-Logo.png?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,['Andrew Ng'],Beginner level,Approx. 6 hours,"Skills you'll gain
Workflow of Machine Learning projects
AI terminology
Workflow of Data Science projects
AI strategy"
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a1/fd9a9b0f404af6842d49aad8cf141a/Andrew-WA-Thompson-699-1-.jpg?auto=format%2Ccompress&dpr=1&w=265&h=216&fit=crop&q=25,['Google Career Certificates'],Beginner level,Approx. 32 hours,"What you'll learn
Understand what Python is and why Python is relevant to automation
Write short Python scripts to perform automated actions
Understand how to use the basic Python structures: strings, lists, and dictionaries
Create your own Python objects"
