reviews,reviewers,date_reviews,rating,course_id,course_name
A must for anyone who wishes to learn what AI is all about. A perfect course for beginners. ,Akash A,2019-05-04,5,ai-for-everyone,AI For Everyone
It was fantastic course and i really got to know about AI. ,Himanshu M,2019-08-09,5,ai-for-everyone,AI For Everyone
I love this course. This course made lot of interest on AI. I will lean about AI.   ,Abdul S,2019-11-10,5,ai-for-everyone,AI For Everyone
A very nice & balanced overview of AI !,Gaurav M,2020-08-18,5,ai-for-everyone,AI For Everyone
It was an excellent experience to learn and have a basic knowledge of artificial intelligence and how it works.Mr Andrew has done a great job.,Rafay Z,2020-03-02,5,ai-for-everyone,AI For Everyone
"Great introductory course and now I have the foundation to start learning in the AI field. Without this course, I would have been completely blind and would not have known the starting point for AI. ",John P,2019-11-07,4,ai-for-everyone,AI For Everyone
The best way to understand AI in the most simplest way.,Rahul,2019-08-30,5,ai-for-everyone,AI For Everyone
It was really a beneficial course ,Abhinav R,2020-06-11,5,ai-for-everyone,AI For Everyone
This course underlines the main aspects of AI in a very unequivocal way.,Luciano C,2020-06-22,5,ai-for-everyone,AI For Everyone
well,Tanvir A,2020-05-28,5,ai-for-everyone,AI For Everyone
"Very educational and should be part of every school's curriculum starting no later than 7th grade.  The presentation was perfectly balanced thereby allowing the student to better absorb course material and actually, reflect on the content. I highly recommend this course! Why? Because it is indeed . . . ""AI for Everyone!""","E. R "" A",2019-05-19,4,ai-for-everyone,AI For Everyone
Great introductory course with good insight on the future of AI and things to consider when developing AI solutions for your business.,Matthew M,2020-03-30,5,ai-for-everyone,AI For Everyone
It was a great and very knowledge inducing course. Would be a great starting step for people willing to become an AI expert. I would not give it a 5 star rating because it is very generic and focused more on general info about AI rather than the technical stuff.,Mohammad H,2020-04-27,4,ai-for-everyone,AI For Everyone
GOOD.,Chaitanya K,2020-04-19,5,ai-for-everyone,AI For Everyone
Great introduction for outsiders!,Jim L,2020-09-09,5,ai-for-everyone,AI For Everyone
"Great course for those that know nothing about AI, very enlightening",Hernan R,2019-11-28,5,ai-for-everyone,AI For Everyone
"I find the course content and its instructional design very interesting, stimulating  and simple. As head of a corporate in house Finance Academy, I can now start thinking ways of using AI with our cross functional  AI teams to automate some tasks , which reduce the drudgery  of my departmental colleagues , which will positively impact  our Academy's learners.",vvs m k,2019-03-17,5,ai-for-everyone,AI For Everyone
This course can be made more interesting by showing more AI application videos.,Shubham B,2020-06-23,3,ai-for-everyone,AI For Everyone
This an excellent course to learn the basics of AI for just about anyone. I would recommend this course to anyone that wants to start using AI. ,Mark B,2019-05-16,5,ai-for-everyone,AI For Everyone
"its really an amazing course teaching you the basics of AI , how to think of building a project , or even how to choose the project that may have benefits for your company ",Abdullah A,2020-04-27,5,ai-for-everyone,AI For Everyone
This course is good enough to understand the concepts of Artificial Intelligence which can be consumed by everyone without prior knowledge of this area. It will be good if there are more exercises covering this concepts which can be appreciated by learners,Sandeep K,2019-03-29,5,ai-for-everyone,AI For Everyone
Highly informative and offering great real world examples.,Gabriel B,2020-02-10,5,ai-for-everyone,AI For Everyone
wow,Fhareza A,2020-09-21,5,ai-for-everyone,AI For Everyone
