,index,name
0,0,Machine Learning
1,1,Indigenous Canada
2,2,The Science of Well-Being
3,3,Technical Support Fundamentals
4,4,Financial Markets
5,5,Introduction to Psychology
6,6,Programming for Everybody (Getting Started with Python)
7,7,The Bits and Bytes of Computer Networking
8,8,AI For Everyone
9,9,Crash Course on Python
10,10,Psychological First Aid
11,11,Neural Networks and Deep Learning
12,12,What is Data Science?
13,13,Successful Negotiation: Essential Strategies and Skills
14,14,Stanford Introduction to Food and Health
15,15,"HTML, CSS, and Javascript for Web Developers"
16,16,Excel Skills for Business: Essentials
17,17,Learning How to Learn: Powerful mental tools to help you master tough subjects
18,18,Google Cloud Platform Fundamentals: Core Infrastructure
19,19,Viral Marketing and How to Craft Contagious Content
20,20,Python Data Structures
21,21,First Step Korean
22,22,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning"
23,23,Operating Systems and You: Becoming a Power User
24,24,Tools for Data Science
25,25,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization"
26,26,Primeros Auxilios Psicológicos (PAP)
27,27,Initiating and Planning Projects
28,28,Fundamentals of Graphic Design
29,29,Introduction to Marketing
30,30,Python for Data Science and AI
31,31,Marketing Analytics
32,32,Fundamentals of Quantitative Modeling
33,33,Mathematics for Machine Learning: Linear Algebra
34,34,Introduction to Data Science in Python
35,35,Customer Analytics
36,36,English for Career Development
37,37,SQL for Data Science
38,38,Write Professional Emails in English
39,39,System Administration and IT Infrastructure Services
40,40,Child Nutrition and Cooking
41,41,Data Science Math Skills
42,42,Structuring Machine Learning Projects
43,43,The Data Scientist’s Toolbox
44,44,Positive Psychology: Martin E. P. Seligman’s Visionary Science
45,45,Convolutional Neural Networks
46,46,Using Python to Access Web Data
47,47,Data Science Methodology
48,48,Introduction to Financial Accounting
49,49,Marketing in a Digital World
50,50,Wind Energy
51,51,Introduction to Philosophy
52,52,Business Metrics for Data-Driven Companies
53,53,Python Basics
54,54,IT Security: Defense against the digital dark arts
55,55,Contabilidad para no contadores
56,56,Google Cloud Platform Big Data and Machine Learning Fundamentals
57,57,Understanding Research Methods
58,58,Camino a la Excelencia en Gestión de Proyectos
59,59,Introduction to HTML5
60,60,Excel Skills for Business: Intermediate I
61,61,"Programming Foundations with JavaScript, HTML and CSS"
62,62,Data Analysis with Python
63,63,AWS Fundamentals: Going Cloud-Native
64,64,Machine Learning with Python
65,65,"Speak English Professionally: In Person, Online & On the Phone"
66,66,Essential Google Cloud Infrastructure: Foundation
67,67,Introduction to Artificial Intelligence (AI)
68,68,Sequence Models
69,69,Introduction to Search Engine Optimization
70,70,R Programming
71,71,Chinese for Beginners
72,72,Grammar and Punctuation
73,73,Supply Chain Logistics
74,74,Nutrición y obesidad: control de sobrepeso
75,75,Design Thinking for Innovation
76,76,Learn to Program: The Fundamentals
77,77,Using Databases with Python
78,78,Introduction to Programming with MATLAB
79,79,Preparing to Manage Human Resources
80,80,Front-End Web UI Frameworks and Tools: Bootstrap 4
81,81,Introduction to Data Analysis Using Excel
82,82,Mind Control: Managing Your Mental Health During COVID-19
83,83,Teach English Now! Foundational Principles
84,84,Algorithmic Toolbox
85,85,Gestión Empresarial Exitosa para Pymes
86,86,Fundamentos de Finanzas Empresariales
87,87,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential
88,88,Programming Fundamentals
89,89,"Capstone: Retrieving, Processing, and Visualizing Data with Python"
90,90,Functional Programming Principles in Scala
91,91,Introducción a Data Science: Programación Estadística con R
92,92,Introduction to Personal Branding
93,93,Finanzas personales
94,94,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)
95,95,Introduction to CSS3
96,96,Introduction to Big Data
97,97,Introduction to Game Development
98,98,COVID-19: What You Need to Know (CME Eligible)
99,99,Machine Learning Foundations: A Case Study Approach
